perm_idx,sigma,success,reason,steps
0,"[0, 1, 2, 3, 4]",True,done,9634
1,"[0, 1, 2, 4, 3]",True,done,10023
2,"[0, 1, 3, 2, 4]",True,done,10609
3,"[0, 1, 3, 4, 2]",True,done,8840
4,"[0, 1, 4, 2, 3]",True,done,8981
5,"[0, 1, 4, 3, 2]",True,done,10254
6,"[0, 2, 1, 3, 4]",True,done,10247
7,"[0, 2, 1, 4, 3]",True,done,9196
8,"[0, 2, 3, 1, 4]",True,done,8948
9,"[0, 2, 3, 4, 1]",True,done,8801
10,"[0, 2, 4, 1, 3]",True,done,8921
11,"[0, 2, 4, 3, 1]",True,done,8856
12,"[0, 3, 1, 2, 4]",True,done,8366
13,"[0, 3, 1, 4, 2]",True,done,9067
14,"[0, 3, 2, 1, 4]",True,done,8518
15,"[0, 3, 2, 4, 1]",True,done,9004
16,"[0, 3, 4, 1, 2]",True,done,8366
17,"[0, 3, 4, 2, 1]",True,done,8366
18,"[0, 4, 1, 2, 3]",True,done,8365
19,"[0, 4, 1, 3, 2]",True,done,8365
20,"[0, 4, 2, 1, 3]",True,done,8517
21,"[0, 4, 2, 3, 1]",True,done,8669
22,"[0, 4, 3, 1, 2]",True,done,8456
23,"[0, 4, 3, 2, 1]",True,done,8456
24,"[1, 0, 2, 3, 4]",True,done,8558
25,"[1, 0, 2, 4, 3]",True,done,9563
26,"[1, 0, 3, 2, 4]",True,done,9534
27,"[1, 0, 3, 4, 2]",True,done,9474
28,"[1, 0, 4, 2, 3]",True,done,8537
29,"[1, 0, 4, 3, 2]",True,done,8500
30,"[1, 2, 0, 3, 4]",True,done,9887
31,"[1, 2, 0, 4, 3]",True,done,8199
32,"[1, 2, 3, 0, 4]",True,done,8793
33,"[1, 2, 3, 4, 0]",True,done,8042
34,"[1, 2, 4, 0, 3]",True,done,8199
35,"[1, 2, 4, 3, 0]",True,done,8738
36,"[1, 3, 0, 2, 4]",True,done,8585
37,"[1, 3, 0, 4, 2]",True,done,7998
38,"[1, 3, 2, 0, 4]",True,done,10122
39,"[1, 3, 2, 4, 0]",True,done,8243
40,"[1, 3, 4, 0, 2]",True,done,7991
41,"[1, 3, 4, 2, 0]",True,done,8724
42,"[1, 4, 0, 2, 3]",True,done,8537
43,"[1, 4, 0, 3, 2]",True,done,8513
44,"[1, 4, 2, 0, 3]",True,done,8745
45,"[1, 4, 2, 3, 0]",True,done,9882
46,"[1, 4, 3, 0, 2]",True,done,7991
47,"[1, 4, 3, 2, 0]",True,done,8724
48,"[2, 0, 1, 3, 4]",True,done,8409
49,"[2, 0, 1, 4, 3]",True,done,9178
50,"[2, 0, 3, 1, 4]",True,done,9508
51,"[2, 0, 3, 4, 1]",True,done,9474
52,"[2, 0, 4, 1, 3]",True,done,7835
53,"[2, 0, 4, 3, 1]",True,done,8500
54,"[2, 1, 0, 3, 4]",True,done,9801
55,"[2, 1, 0, 4, 3]",True,done,8520
